psi_bin,Development,Validation,PSI
"(509.136, 568.409]",0.10011756061719324,0.10047660955733602,1.2853442249221503e-06
"(568.409, 576.771]",0.10040656380112663,0.10005371858320095,1.242140087883337e-06
"(576.771, 584.037]",0.11170217976977713,0.11124318516909924,1.8899369463390153e-06
"(584.037, 588.336]",0.08801861376438894,0.08860137382419166,3.8456634989555224e-06
"(588.336, 594.653]",0.10725936811168259,0.10819151246385425,8.065861810062968e-06
"(594.653, 602.043]",0.09692383051677687,0.09875075720343342,3.411539684432842e-05
"(602.043, 607.186]",0.096208670095518,0.09624769981598529,1.5830279884606733e-08
"(607.186, 618.072]",0.10153318638256184,0.09883076360394547,7.290265308944272e-05
"(618.072, 625.205]",0.10784227283859907,0.10852296755168984,4.28300608980768e-06
"(625.205, 678.138]",0.08998775410237571,0.0890814122272639,9.174807993638578e-06
